elapsed_s,coverage,overlap,drone_id,lat,lon,dist_m,efficiency,utilization,territory_cells
11.1,0.0031,1.0000,0,-35.363262,149.166894,0.4,0.3060,0.0000,168
11.1,0.0031,1.0000,1,-35.361977,149.165749,0.5,0.2904,0.4000,178
11.1,0.0031,1.0000,2,-35.362467,149.163895,0.2,1.0000,0.0000,188
11.1,0.0031,1.0000,3,-35.364057,149.163897,0.5,0.2645,0.0000,189
11.1,0.0031,1.0000,4,-35.364526,149.165740,0.0,0.0000,0.0000,177
21.1,0.0031,1.0000,0,-35.363262,149.166893,0.5,0.0763,0.0000,168
21.1,0.0031,1.0000,1,-35.361978,149.165748,0.5,0.1002,0.4000,178
21.1,0.0031,1.0000,2,-35.362468,149.163897,0.4,0.1174,0.0000,188
21.1,0.0031,1.0000,3,-35.364056,149.163897,0.6,0.0925,0.0000,189
21.1,0.0031,1.0000,4,-35.364526,149.165740,0.0,0.0000,0.0000,177
31.2,0.0037,1.0000,0,-35.363262,149.166893,0.5,0.0491,0.0000,168
31.2,0.0037,1.0000,1,-35.361978,149.165748,0.6,0.0591,0.3333,178
31.2,0.0037,1.0000,2,-35.362468,149.163897,0.5,0.0670,0.0000,188
31.2,0.0037,1.0000,3,-35.364056,149.163898,0.7,0.0314,0.0000,189
31.2,0.0037,1.0000,4,-35.364546,149.165749,2.4,0.0099,0.1667,177
41.2,0.0063,1.0000,0,-35.363397,149.167198,32.5,0.9713,0.2000,168
41.2,0.0063,1.0000,1,-35.361808,149.165901,24.0,0.9770,0.3000,178
41.2,0.0063,1.0000,2,-35.362355,149.163779,17.0,0.9740,0.0000,188
41.2,0.0063,1.0000,3,-35.364056,149.163898,0.7,0.0314,0.0000,189
41.2,0.0063,1.0000,4,-35.364546,149.165749,2.4,0.0099,0.1000,177
51.3,0.0156,0.7600,0,-35.363268,149.167612,80.7,0.8081,0.1200,168
51.3,0.0156,0.7600,1,-35.361327,149.166336,90.4,0.9932,0.1600,178
51.3,0.0156,0.7600,2,-35.361793,149.163483,87.8,0.9555,0.0800,188
51.3,0.0156,0.7600,3,-35.364747,149.163520,84.8,0.9923,0.0800,189
51.3,0.0156,0.7600,4,-35.364546,149.165749,2.4,0.0099,0.0400,177
61.3,0.0213,0.7353,0,-35.363251,149.167722,98.3,0.7640,0.0882,168
61.3,0.0213,0.7353,1,-35.361129,149.166444,114.9,0.9874,0.1765,178
61.3,0.0213,0.7353,2,-35.361838,149.162946,136.7,0.8128,0.1176,188
61.3,0.0213,0.7353,3,-35.364778,149.163149,121.4,0.8655,0.1176,189
61.3,0.0213,0.7353,4,-35.364568,149.165775,5.8,0.5941,0.0588,177
71.4,0.0269,0.7209,0,-35.363141,149.167743,113.4,0.6901,0.0698,168
71.4,0.0269,0.7209,1,-35.360732,149.166317,164.0,0.9005,0.1628,178
71.4,0.0269,0.7209,2,-35.361842,149.162851,145.3,0.8096,0.0930,188
71.4,0.0269,0.7209,3,-35.364797,149.163480,151.5,0.5988,0.0930,189
71.4,0.0269,0.7209,4,-35.365005,149.166243,70.3,0.9665,0.0698,177
81.4,0.0350,0.6250,0,-35.363140,149.167791,122.6,0.6731,0.0536,168
81.4,0.0350,0.6250,1,-35.360601,149.166881,217.6,0.8468,0.1607,178
81.4,0.0350,0.6250,2,-35.361428,149.162116,226.2,0.8776,0.1071,188
81.4,0.0350,0.6250,3,-35.364201,149.163193,222.7,0.2959,0.1071,189
81.4,0.0350,0.6250,4,-35.365682,149.166941,168.4,0.9860,0.1071,177
91.5,0.0400,0.6562,0,-35.363126,149.167845,134.2,0.6529,0.0625,168
91.5,0.0400,0.6562,1,-35.360679,149.166921,234.6,0.7641,0.1406,178
91.5,0.0400,0.6562,2,-35.362053,149.162621,309.4,0.4028,0.1250,188
91.5,0.0400,0.6562,3,-35.364015,149.163066,253.9,0.2975,0.1094,189
91.5,0.0400,0.6562,4,-35.365682,149.166941,168.4,0.9860,0.0938,177
